IP,已浏览网址,推荐网址,T/F
2114220558,http://www.lawtime.cn/info/hunyin/caichanfengexieyi/20111118161114.html,http://www.lawtime.cn/info/hunyin/fuqigongtongcaichan/20110819144755.html,False
3628374030,http://www.lawtime.cn/info/hunyin/hunyinfagui/201501303314122.html,http://www.lawtime.cn/info/hunyin/hunfang/hunqiangoufang/201504093316358.html,False
1530355325,http://www.lawtime.cn/info/hunyin/lhlawlhxy/201411103309100.html,http://www.lawtime.cn/info/hunyin/lhlawlhxy/20111019158694.html,False
1530355325,http://www.lawtime.cn/info/hunyin/lhlawlhxy/20111205161696.html,http://www.lawtime.cn/info/hunyin/lhlawlhxy/20120202163207.html,False
1174147598,http://www.lawtime.cn/info/hunyin/lhlawlhxy/20110707137693.html,http://www.lawtime.cn/info/hunyin/lihunshouxu/201312042874014.html,True
201334286,http://www.lawtime.cn/info/hunyin/hunyinfagui/20110813143541.html,http://www.lawtime.cn/info/hunyin/hunyinfagui/20111012157591.html,False
2718065521,http://www.lawtime.cn/info/hunyin/jclawfdjc/xhjcq/20150204/3314298.html,http://www.lawtime.cn/info/hunyin/hynews/201502133314710.html,False
1157370382,http://www.lawtime.cn/info/hunyin/lhlawlhxy/20110707137693.html,http://www.lawtime.cn/info/hunyin/lihunshouxu/201312042874014.html,False
1050042481,http://www.lawtime.cn/info/hunyin/ccfglhccfg/20110924154641.html,http://www.lawtime.cn/info/hunyin/lhlawlhss/201410133308390.html,False
1157370382,http://www.lawtime.cn/info/hunyin/jihuashengyu/201411103309146.html,http://www.lawtime.cn/info/hunyin/lihunpanjue/2010092053429.html,False
1174147598,http://www.lawtime.cn/info/hunyin/hunyinfagui/20110813143541.html,http://www.lawtime.cn/info/hunyin/hunyinfagui/20111012157591.html,False
3938356179,http://www.lawtime.cn/info/hunyin/lihunzhengju/2010111575246.html,NaN,NaN
1984272398,http://www.lawtime.cn/info/hunyin/hunyinfagui/201406043017448.html,NaN,NaN
1530355325,http://www.lawtime.cn/info/hunyin/lhlawlhxy/20110707137693.html,http://www.lawtime.cn/info/hunyin/lihunshouxu/201312042874014.html,False
3608331896,http://www.lawtime.cn/info/hunyin/lhlawlhxy/20110707137693.html,http://www.lawtime.cn/info/hunyin/lihunshouxu/201312042874014.html,False
1655183118,http://www.lawtime.cn/info/hunyin/jiatingbaoli/20120802164868.html,NaN,NaN
3608331896,http://www.lawtime.cn/info/hunyin/lhlawlhxy/201403182883138.html,http://www.lawtime.cn/info/hunyin/lihunshouxu/201312042874014.html,False
