index_content,word,nature,content_type,index_word
1,快递,v,pos,0
1,小哥,n,pos,1
1,力,n,pos,2
1,服务态度,n,pos,3
1,耐心,a,pos,4
2,名副其实,i,pos,0
2,品牌,n,pos,1
2,售后,n,pos,2
2,客服,n,pos,3
2,服务,vn,pos,4
2,到位,v,pos,5
2,提前,v,pos,6
2,抢,v,pos,7
2,电器,n,pos,8
2,预备,v,pos,9
2,新房子,n,pos,10
2,安装,v,pos,11
2,收货,n,pos,12
2,地址,n,pos,13
2,安装,v,pos,14
2,地址,n,pos,15
2,打电话,l,pos,16
2,预约,v,pos,17
2,安装,v,pos,18
2,顺利,ad,pos,19
2,安装,v,pos,20
2,师傅,nr,pos,21
2,专业,n,pos,22
2,服务态度,n,pos,23
2,主动,b,pos,24
2,客户,n,pos,25
2,安装,v,pos,26
2,过程,n,pos,27
2,顺利,ad,pos,28
2,作业,n,pos,29
2,效率,n,pos,30
2,杠杠,n,pos,31
2,选择,v,pos,32
2,省心,n,pos,33
3,安,v,pos,0
3,两天,m,pos,1
3,评价,n,pos,2
3,安装,v,pos,3
3,师傅,nr,pos,4
3,不错,a,pos,5
3,安,v,pos,6
3,满意,v,pos,7
3,购物,n,pos,8
4,网购,n,pos,0
4,始终,d,pos,1
4,信赖,n,pos,2
4,发货,n,pos,3
4,服务,vn,pos,4
4,物流,n,pos,5
4,即时,c,pos,6
4,始终,d,pos,7
4,信赖,n,pos,8
4,国货,n,pos,9
4,家用电器,n,pos,10
4,喜欢,v,pos,11
4,牌,n,pos,12
4,微波炉,n,pos,13
4,电磁炉,n,pos,14
4,饮水机,n,pos,15
4,家里,s,pos,16
4,好多,m,pos,17
4,牌,n,pos,18
4,良心,a,pos,19
4,企业,n,pos,20
4,样式,n,pos,21
4,美观,nz,pos,22
4,结构合理,n,pos,23
4,热,a,pos,24
4,速度,n,pos,25
5,机器,n,pos,0
5,棒棒,n,pos,1
5,哒,zg,pos,2
5,双层,n,pos,3
5,包装,v,pos,4
5,外包装,n,pos,5
5,损坏,v,pos,6
5,外观,n,pos,7
5,简洁,a,pos,8
5,大方,n,pos,9
5,水,n,pos,10
5,加热,v,pos,11
5,保温,n,pos,12
5,易,a,pos,13
5,操作,v,pos,14
5,配有,v,pos,15
5,摇控器,nz,pos,16
5,实用,v,pos,17
5,外观,n,pos,18
5,漂亮,a,pos,19
5,节能,v,pos,20
5,设计,vn,pos,21
5,操作性,n,pos,22
5,强,a,pos,23
5,功能,n,pos,24
5,实用,v,pos,25
5,发现,v,pos,26
5,缺点,n,pos,27
5,的的,u,pos,28
5,容量,n,pos,29
5,可用,v,pos,30
5,操作,v,pos,31
5,简单,a,pos,32
5,外观,n,pos,33
5,漂亮,a,pos,34
5,安装,v,pos,35
5,服务,vn,pos,36
5,完善,v,pos,37
5,安装,v,pos,38
5,配件,n,pos,39
5,齐全,nr,pos,40
5,存储容量,n,pos,41
5,够,zg,pos,42
5,一家,m,pos,43
6,下单,n,pos,0
6,打电话,l,pos,1
6,服务态度,n,pos,2
6,快递,v,pos,3
6,发货,n,pos,4
6,送货,v,pos,5
6,第二天,m,pos,6
6,中午,t,pos,7
6,送到,v,pos,8
6,安装,v,pos,9
6,师傅,nr,pos,10
6,干活,a,pos,11
6,麻利,nr,pos,12
6,服务,vn,pos,13
6,品牌,n,pos,14
6,值得,v,pos,15
6,拥有,v,pos,16
7,品牌,n,pos,0
7,商品,n,pos,1
7,不错,a,pos,2
7,外观,n,pos,3
7,线条,n,pos,4
7,简约,d,pos,5
7,时尚,n,pos,6
7,美观,nz,pos,7
7,外形,n,pos,8
7,设计,vn,pos,9
7,面板,n,pos,10
7,工艺,n,pos,11
7,镀锌,n,pos,12
7,基板,n,pos,13
7,表面,n,pos,14
7,覆膜,n,pos,15
7,超薄,a,pos,16
7,外型,b,pos,17
7,美观,nz,pos,18
7,时尚,n,pos,19
7,高效,a,pos,20
7,水箱,n,pos,21
7,设计,vn,pos,22
7,省,n,pos,23
7,能源,n,pos,24
7,高端,n,pos,25
7,大气,n,pos,26
7,上档次,b,pos,27
7,低调,v,pos,28
7,奢华,a,pos,29
7,内涵,n,pos,30
8,用户,n,pos,0
8,未填写,i,pos,1
8,评价,n,pos,2
8,内容,n,pos,3
9,乡下,s,pos,0
9,外公,n,pos,1
9,包装,v,pos,2
9,看着,v,pos,3
9,很大,a,pos,4
9,气,n,pos,5
9,上档次,b,pos,6
9,送货,v,pos,7
9,挺快,v,pos,8
9,预约,v,pos,9
9,安装,v,pos,10
9,价格,n,pos,11
9,蛮好,a,pos,12
9,安装费,n,pos,13
9,不到,v,pos,14
9,一百,m,pos,15
9,搞定,v,pos,16
9,简单,a,pos,17
9,温度,n,pos,18
9,标示,v,pos,19
9,配送,v,pos,20
9,花,v,pos,21
9,洒,v,pos,22
9,出水量,n,pos,23
9,适中,v,pos,24
9,烧水,n,pos,25
9,挺快,v,pos,26
9,夏天,t,pos,27
9,洗,v,pos,28
9,冬天,t,pos,29
9,洗完,v,pos,30
9,烧,v,pos,31
9,半个,m,pos,32
9,小时,n,pos,33
10,安装,v,pos,0
10,师傅,nr,pos,1
10,态度,n,pos,2
10,特别,d,pos,3
10,安装,v,pos,4
10,到位,v,pos,5
11,烧水,n,pos,0
11,加热,v,pos,1
11,不急,a,pos,2
11,半个,m,pos,3
11,小时,n,pos,4
11,热水,n,pos,5
11,连接,v,pos,6
11,大花洒,i,pos,7
11,出水量,n,pos,8
11,洗,v,pos,9
11,爽,a,pos,10
11,加热,v,pos,11
11,到度,d,pos,12
11,混,a,pos,13
11,凉水,n,pos,14
11,显示,v,pos,15
11,水温,n,pos,16
11,降到,v,pos,17
11,热水,n,pos,18
11,水温,n,pos,19
11,降低,v,pos,20
11,满意,v,pos,21
11,满意,v,pos,22
11,特别,d,pos,23
11,赞扬,v,pos,24
11,西安,ns,pos,25
11,售后,n,pos,26
11,赵师傅,nr,pos,27
11,赵师傅,nr,pos,28
11,安装,v,pos,29
11,管线,n,pos,30
11,改造,v,pos,31
11,麻烦,an,pos,32
11,师傅,nr,pos,33
11,前前后后,i,pos,34
11,干,v,pos,35
11,小时,n,pos,36
11,态度,n,pos,37
11,干活,a,pos,38
11,仔细,ad,pos,39
11,收费,n,pos,40
11,实惠,vn,pos,41
11,点,m,pos,42
11,赞,v,pos,43
12,很漂亮,n,pos,0
13,价格便宜,n,pos,0
13,性价比,n,pos,1
13,高,a,pos,2
13,容量,n,pos,3
13,合适,a,pos,4
13,总体,n,pos,5
13,挺不错,i,pos,6
13,安装,v,pos,7
13,高端,n,pos,8
13,大气,n,pos,9
13,上档次,b,pos,10
13,隔壁家,n,pos,11
13,小孩,n,pos,12
13,我家,r,pos,13
13,洗澡,v,pos,14
13,场面,n,pos,15
13,一度,mq,pos,16
13,控制,v,pos,17
13,不住,v,pos,18
14,商品质量,n,pos,0
14,制热,v,pos,1
14,保温,n,pos,2
14,长,a,pos,3
14,面板,n,pos,4
14,触摸,v,pos,5
14,灵敏,nr,pos,6
14,遥控器,n,pos,7
14,操作,v,pos,8
14,外观,n,pos,9
14,高端,n,pos,10
14,大气,n,pos,11
14,价格便宜,n,pos,12
14,实惠,vn,pos,13
14,配送,v,pos,14
14,快捷,a,pos,15
14,准时,v,pos,16
14,师傅,nr,pos,17
14,安装,v,pos,18
14,美观,nz,pos,19
14,快捷,a,pos,20
14,值得,v,pos,21
14,推荐,v,pos,22
15,选,v,pos,0
15,好久,m,pos,1
15,选,v,pos,2
15,这款,r,pos,3
15,外观,n,pos,4
15,漂亮,a,pos,5
15,安装,v,pos,6
15,师傅,nr,pos,7
15,热心,n,pos,8
15,态度,n,pos,9
15,品牌,n,pos,10
15,值得,v,pos,11
15,推荐,v,pos,12
16,昨天,t,pos,0
16,师傅,nr,pos,1
16,安装,v,pos,2
16,不错,a,pos,3
16,的的,u,pos,4
16,多年,m,pos,5
16,值得,v,pos,6
16,信赖,n,pos,7
17,安装,v,pos,0
17,满意,v,pos,1
17,安装,v,pos,2
17,人员,n,pos,3
17,服务,vn,pos,4
17,点,m,pos,5
17,赞,v,pos,6
18,空调,n,pos,0
18,高端,n,pos,1
18,大气,n,pos,2
18,上档次,b,pos,3
18,值得,v,pos,4
18,购买,v,pos,5
18,推荐,v,pos,6
18,信任,n,pos,7
19,好长时间,n,pos,0
19,评价,n,pos,1
19,中,f,pos,2
19,屏幕,n,pos,3
19,灵敏度,n,pos,4
19,高,a,pos,5
19,不错,a,pos,6
19,支持,v,pos,7
21,节能,v,pos,0
21,噪音,n,pos,1
21,占用,v,pos,2
21,卫生间,n,pos,3
21,空间,n,pos,4
21,安装,v,pos,5
21,师傅,nr,pos,6
21,帮,v,pos,7
21,安装,v,pos,8
21,细心,n,pos,9
21,教,v,pos,10
21,安装,v,pos,11
21,帮忙,v,pos,12
21,打扫卫生,nz,pos,13
21,快递,v,pos,14
21,送,v,pos,15
21,安装,v,pos,16
21,服务态度,n,pos,17
22,好评,v,pos,0
22,安装,v,pos,1
22,师傅,nr,pos,2
22,服务,vn,pos,3
22,外观设计,n,pos,4
22,简单,a,pos,5
22,大方,n,pos,6
22,满意,v,pos,7
22,邻居,v,pos,8
23,正品,n,pos,0
23,质量,n,pos,1
23,送货,v,pos,2
23,很快,d,pos,3
23,我家,r,pos,4
23,电器,n,pos,5
23,满意,v,pos,6
24,服务态度,n,pos,0
24,货后,n,pos,1
